"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","beta","decoder_arch","encoder_arch","eps_dim","input_dim","job_type","logging","optim","query_dim","seed","training","wandb","cov_norm","kl_loss","recon_loss"
"latent_dim_sweep","ofelbwo0","finished","-","pgp","","2023-01-20T23:42:11.000Z","75","oznw6kk0","","","","64","","","","","","2","","","0.008129962719976902","9.735576629638672","0.00005567892003455199"
"latent_dim_sweep","ofelbwo0","finished","-","pgp","","2023-01-20T23:43:27.000Z","76","oznw6kk0","","","","64","","","","","","3","","","0.008892941288650036","10.416933059692385","0.0000498533554491587"
"latent_dim_sweep","ofelbwo0","finished","-","pgp","","2023-01-20T23:44:49.000Z","72","oznw6kk0","","","","64","","","","","","4","","","0.011525576002895832","9.747564315795898","0.00006424456660170108"
"latent_dim_sweep","ofelbwo0","finished","-","pgp","","2023-01-20T23:11:04.000Z","76","oznw6kk0","","","","8","","","","","","8","","","0.011927897110581398","9.529336929321287","0.000051736791647272184"
"latent_dim_sweep","ofelbwo0","finished","-","pgp","","2023-01-20T23:34:27.000Z","75","oznw6kk0","","","","32","","","","","","6","","","0.013001963496208193","9.723567962646484","0.000054190131777431816"
"latent_dim_sweep","ofelbwo0","finished","-","pgp","","2023-01-20T23:02:07.000Z","73","oznw6kk0","","","","8","","","","","","1","","","0.013608399778604507","9.598698616027832","0.00005051193875260651"
"latent_dim_sweep","ofelbwo0","finished","-","pgp","","2023-01-20T23:29:22.000Z","72","oznw6kk0","","","","32","","","","","","2","","","0.013690481893718244","9.558433532714844","0.00005632133616018109"
"latent_dim_sweep","ofelbwo0","finished","-","pgp","","2023-01-20T23:35:44.000Z","72","oznw6kk0","","","","32","","","","","","7","","","0.014156301505863668","10.474037170410156","0.00004455846647033468"
"latent_dim_sweep","ofelbwo0","finished","-","pgp","","2023-01-20T23:40:54.000Z","75","oznw6kk0","","","","64","","","","","","1","","","0.015520798973739147","9.671149253845217","0.00006063713226467371"
"latent_dim_sweep","ofelbwo0","finished","-","pgp","","2023-01-20T23:47:22.000Z","74","oznw6kk0","","","","64","","","","","","6","","","0.016809487715363503","9.933631896972656","0.00006304304406512529"
"latent_dim_sweep","ofelbwo0","finished","-","pgp","","2023-01-20T22:50:40.000Z","75","oznw6kk0","","","","4","","","","","","2","","","0.016894591972231865","9.774723052978516","0.00004938511119689792"
"latent_dim_sweep","ofelbwo0","finished","-","pgp","","2023-01-20T23:21:44.000Z","73","oznw6kk0","","","","16","","","","","","6","","","0.017136558890342712","9.73004150390625","0.0000549573014723137"
"latent_dim_sweep","ofelbwo0","finished","-","pgp","","2023-01-20T23:37:00.000Z","73","oznw6kk0","","","","32","","","","","","8","","","0.018700404092669487","10.490751266479492","0.00004530902879196219"
"latent_dim_sweep","ofelbwo0","finished","-","pgp","","2023-01-20T23:51:11.000Z","72","oznw6kk0","","","","64","","","","","","9","","","0.019269635900855064","9.66868019104004","0.00006005801697028801"
"latent_dim_sweep","ofelbwo0","finished","-","pgp","","2023-01-20T23:31:55.000Z","72","oznw6kk0","","","","32","","","","","","4","","","0.019482968375086784","9.737833023071287","0.00005134322418598458"
"latent_dim_sweep","ofelbwo0","finished","-","pgp","","2023-01-20T23:26:49.000Z","76","oznw6kk0","","","","32","","","","","","0","","","0.019795456901192665","10.497926712036133","0.00004229777550790459"
"latent_dim_sweep","ofelbwo0","finished","-","pgp","","2023-01-20T23:49:54.000Z","72","oznw6kk0","","","","64","","","","","","8","","","0.02008044347167015","9.74030876159668","0.0000579115076106973"
"latent_dim_sweep","ofelbwo0","finished","-","pgp","","2023-01-20T23:39:33.000Z","77","oznw6kk0","","","","64","","","","","","0","","","0.021888114511966705","9.825698852539062","0.00005605737533187494"
"latent_dim_sweep","ofelbwo0","finished","-","pgp","","2023-01-20T23:12:24.000Z","75","oznw6kk0","","","","8","","","","","","9","","","0.021978359669446945","9.570313453674316","0.00005082683128421195"
"latent_dim_sweep","ofelbwo0","finished","-","pgp","","2023-01-20T23:48:38.000Z","73","oznw6kk0","","","","64","","","","","","7","","","0.02235918678343296","9.95854949951172","0.00006180694617796689"
"latent_dim_sweep","ofelbwo0","finished","-","pgp","","2023-01-20T23:09:47.000Z","73","oznw6kk0","","","","8","","","","","","7","","","0.02261367440223694","9.58734893798828","0.00005079185211798176"
"latent_dim_sweep","ofelbwo0","finished","-","pgp","","2023-01-20T23:33:11.000Z","74","oznw6kk0","","","","32","","","","","","5","","","0.023682858794927597","9.74747085571289","0.00005306075036060065"
"latent_dim_sweep","ofelbwo0","finished","-","pgp","","2023-01-20T23:24:16.000Z","74","oznw6kk0","","","","16","","","","","","8","","","0.024745294824242592","9.736153602600098","0.000051022914703935385"
"latent_dim_sweep","ofelbwo0","finished","-","pgp","","2023-01-20T23:19:11.000Z","73","oznw6kk0","","","","16","","","","","","4","","","0.024845680221915245","9.58561897277832","0.00005060147668700665"
"latent_dim_sweep","ofelbwo0","finished","-","pgp","","2023-01-20T22:55:27.000Z","75","oznw6kk0","","","","4","","","","","","6","","","0.025225834921002388","8.515813827514648","0.00008911419718060642"
"latent_dim_sweep","ofelbwo0","finished","-","pgp","","2023-01-20T23:28:06.000Z","73","oznw6kk0","","","","32","","","","","","1","","","0.025865867733955383","9.499067306518556","0.00005153389793122187"
"latent_dim_sweep","ofelbwo0","finished","-","pgp","","2023-01-20T23:38:17.000Z","75","oznw6kk0","","","","32","","","","","","9","","","0.025936836376786232","9.55125904083252","0.00005193716424400918"
"latent_dim_sweep","ofelbwo0","finished","-","pgp","","2023-01-20T23:03:23.000Z","74","oznw6kk0","","","","8","","","","","","2","","","0.026217790320515633","9.552203178405762","0.000051017959776800126"
"latent_dim_sweep","ofelbwo0","finished","-","pgp","","2023-01-20T23:15:11.000Z","81","oznw6kk0","","","","16","","","","","","1","","","0.026952415704727173","9.491610527038574","0.00005091867933515459"
